user_id,num_recs,num_relevant,hits,precision,recall,f1_score
780010,60,2,0,0.0,0.0,0
840001,60,1,0,0.0,0.0,0
1110001,60,1,0,0.0,0.0,0
1140001,60,1,0,0.0,0.0,0
1200001,60,3,0,0.0,0.0,0
1260005,60,1,0,0.0,0.0,0
1260017,60,0,0,0.0,0,0
1260024,60,1,0,0.0,0.0,0
1260006,60,0,0,0.0,0,0
1260020,60,0,0,0.0,0,0
1260023,60,1,0,0.0,0.0,0
1200003,60,0,0,0.0,0,0
1260021,60,5,0,0.0,0.0,0
1260022,60,0,0,0.0,0,0
1260025,60,0,0,0.0,0,0
1260026,60,0,0,0.0,0,0
1260019,60,1,0,0.0,0.0,0
1260036,60,1,0,0.0,0.0,0
1260003,60,2,0,0.0,0.0,0
1260004,60,0,0,0.0,0,0
1260018,60,3,0,0.0,0.0,0
